domain_reputation,domain_age,ssl,url_length,typo,redirect,blacklist,content,headers,label
0,-1,0,24,0,0,0,0,0,1
100,4361,0,42,0,0,0,0,0,1
0,-1,0,38,0,0,1,0,1,1
97,3503,1,24,0,0,0,2,1,1
100,6607,1,22,0,0,0,0,0,1
0,-1,0,31,0,0,0,0,0,1
100,4596,1,37,0,0,0,0,0,1
7,285,1,35,0,0,0,0,0,1
0,-1,1,123,0,0,0,0,0,1
0,-1,1,64,0,0,0,1,0,1
0,-1,1,34,0,0,0,0,0,1
0,-1,0,31,0,0,0,0,0,1
0,-1,1,32,0,0,0,0,1,1
100,10505,1,173,0,0,0,3,4,1
0,-1,0,70,0,0,1,0,0,1
0,-1,1,37,0,0,0,0,0,1
100,6420,1,25,0,1,0,5,3,1
0,-1,1,28,0,0,0,0,0,1
0,-1,1,50,0,0,0,0,0,1
64,2334,1,102,0,0,0,0,0,1
0,-1,1,31,0,0,0,0,0,1
100,4816,1,27,0,0,0,0,0,1
100,4596,0,37,0,1,0,0,0,1
0,-1,1,18,0,0,0,0,0,1
95,3424,1,91,0,0,0,0,0,1
0,-1,1,31,0,0,0,0,1,1
47,1700,1,32,0,1,0,3,1,1
0,-1,1,21,0,0,0,0,0,1
0,-1,1,24,0,0,0,0,0,1
0,-1,1,17,0,0,0,0,0,1
0,-1,0,70,0,0,0,0,0,1
100,4791,1,33,0,0,0,0,1,1
0,-1,1,42,0,0,0,0,0,1
100,10505,1,175,0,0,0,4,4,1
0,-1,0,58,0,0,0,0,0,1
97,3496,0,36,0,1,0,0,3,1
0,-1,1,22,0,0,0,0,0,1
7,260,1,30,0,0,0,0,0,1
0,-1,0,34,0,0,0,0,0,1
100,7388,1,34,0,0,0,0,0,1
100,4791,0,43,0,0,0,0,1,1
100,11315,1,108,0,0,0,4,3,1
0,-1,1,74,0,0,0,0,0,1
0,-1,0,26,0,0,0,0,0,1
100,4851,1,45,0,0,0,1,1,1
57,2060,0,63,0,0,0,0,0,1
7,268,0,47,0,0,0,0,0,1
0,-1,1,58,0,0,0,0,0,1
0,-1,1,52,0,0,0,0,0,1
0,-1,1,40,0,0,0,0,1,1
100,4112,1,22,0,1,0,3,2,1
0,-1,1,27,0,0,0,0,0,1
100,4572,0,44,0,0,0,0,0,1
100,6607,1,22,0,0,0,0,0,1
0,-1,1,24,0,0,0,0,0,1
0,-1,1,32,0,0,0,0,0,1
0,-1,0,92,0,0,0,0,0,1
37,1334,1,60,0,0,0,0,0,1
0,-1,1,55,0,0,1,0,0,1
0,-1,1,36,0,0,0,0,1,1
0,-1,1,36,0,0,0,0,1,1
100,6214,1,64,0,0,0,0,0,1
100,4851,1,51,0,0,0,1,1,1
100,7388,0,54,0,0,0,0,0,1
0,-1,0,24,0,0,0,0,0,1
94,3403,1,83,0,0,0,0,0,1
9,326,1,16,0,0,0,0,0,1
0,-1,1,42,0,0,0,0,0,1
0,-1,0,58,0,0,0,0,0,1
0,-1,1,40,0,0,0,0,0,1
55,2007,1,42,0,0,0,0,0,1
100,4361,0,30,0,0,0,0,0,1
0,-1,1,55,0,0,0,0,0,1
100,5259,0,107,0,0,2,0,0,1
0,-1,0,37,0,0,0,0,0,1
100,6194,0,204,0,0,0,0,0,1
0,-1,1,45,0,0,0,0,0,1
0,-1,0,24,0,2,0,2,1,1
100,4791,1,43,0,0,1,0,1,1
100,4816,1,36,0,0,0,0,0,1
0,-1,1,25,0,0,0,3,0,1
0,-1,1,27,0,0,0,0,0,1
100,3692,0,41,0,0,0,0,0,1
0,-1,1,29,0,0,0,0,1,1
0,-1,1,21,0,0,0,0,0,1
9,339,0,37,0,0,0,0,0,1
0,-1,0,37,0,0,1,0,0,1
0,-1,0,70,0,0,0,0,0,1
100,10505,1,167,0,0,0,3,4,1
7,280,0,26,0,0,0,0,0,1
100,6607,1,22,0,0,0,0,0,1
27,975,1,39,0,0,0,0,0,1
0,-1,1,39,0,0,0,0,0,1
0,-1,1,34,0,0,0,0,1,1
100,5155,1,41,0,0,0,0,1,1
100,7107,1,76,0,1,0,0,1,1
100,4596,1,37,0,0,1,0,0,1
0,-1,1,26,0,1,0,1,0,1
0,-1,1,21,0,0,0,3,0,1
0,-1,1,37,0,0,0,0,0,1
0,-1,1,45,0,0,0,2,3,0
100,8255,1,32,0,1,0,4,4,0
100,8199,1,32,0,0,0,0,2,0
81,2927,1,30,0,0,0,0,3,0
100,11383,1,37,0,0,0,1,0,0
100,4625,1,38,0,0,0,2,2,0
100,4211,1,39,0,0,0,2,3,0
86,3116,1,40,0,0,0,0,1,0
100,10620,1,39,0,1,0,7,3,0
100,10882,1,45,0,0,0,0,0,0
100,4053,1,30,0,1,0,2,4,0
0,-1,1,32,0,0,0,2,3,0
0,-1,1,43,0,0,0,1,3,0
100,4087,1,47,0,0,0,7,0,0
100,9369,1,34,0,0,0,5,4,0
100,7537,1,51,0,0,0,6,3,0
100,9913,1,60,0,0,0,2,0,0
100,8227,1,71,0,0,0,1,3,0
0,-1,1,52,0,0,0,0,0,0
0,-1,1,43,0,0,0,3,1,0
0,-1,1,42,0,0,0,0,0,0
100,10915,1,229,0,0,0,0,1,0
100,5624,1,83,0,0,0,6,0,0
0,-1,1,47,0,0,0,5,2,0
100,6846,1,48,0,0,0,3,1,0
100,8939,1,74,0,0,0,2,3,0
100,11291,1,56,0,1,0,0,1,0
100,11545,1,30,0,0,0,2,0,0
71,2567,1,41,0,0,0,5,4,0
100,11330,1,58,0,0,0,0,1,0
100,7060,1,46,0,0,0,3,3,0
100,5580,1,49,0,0,0,0,1,0
14,516,1,49,0,0,0,0,0,0
100,5895,1,40,0,0,0,3,0,0
100,9240,1,64,0,0,0,4,0,0
0,-1,1,27,0,0,0,5,2,0
100,4968,1,44,0,0,0,2,0,0
100,6824,1,28,0,1,0,1,2,0
100,9941,1,77,0,0,0,3,1,0
100,4729,1,48,0,0,0,0,0,0
76,2748,1,37,0,0,0,1,2,0
100,7896,1,33,0,0,0,0,3,0
0,-1,1,37,0,0,0,0,1,0
100,6952,1,92,0,0,0,2,1,0
100,7880,1,47,0,0,0,1,0,0
0,-1,1,22,0,0,0,3,1,0
100,8837,1,98,0,0,0,5,1,0
14,533,1,19,0,0,0,1,0,0
0,-1,1,58,0,0,1,0,1,0
100,7387,1,29,0,0,0,4,1,0
100,10178,1,39,0,0,0,6,4,0
100,9349,1,69,0,0,0,5,4,0
96,3460,1,26,0,0,0,4,4,0
100,10752,1,54,0,0,0,0,3,0
0,-1,1,23,0,0,0,2,0,0
100,5191,1,75,0,0,0,5,1,0
100,7395,1,61,0,0,0,1,4,0
79,2873,1,41,0,0,0,3,3,0
100,4658,1,46,0,0,0,0,0,0
100,9600,1,39,0,0,0,0,2,0
80,2911,1,68,0,0,0,3,1,0
100,11242,1,30,0,0,0,2,0,0
100,6343,1,34,0,0,0,6,3,0
0,-1,1,41,0,1,0,2,4,0
100,10483,0,24,0,0,0,0,0,0
100,6408,1,32,0,0,0,1,2,0
0,-1,1,44,0,0,0,0,0,0
0,-1,1,62,0,0,2,0,0,0
100,4325,1,21,0,0,0,0,1,0
100,8016,1,40,0,0,0,0,0,0
100,6364,1,95,0,0,0,0,0,0
100,9614,1,56,0,1,0,0,4,0
100,9398,1,44,0,2,0,1,3,0
100,5020,1,53,0,0,0,2,0,0
100,7269,1,44,0,0,0,0,3,0
100,9301,1,34,0,0,0,0,0,0
0,-1,1,42,0,0,0,1,2,0
100,6568,1,82,0,0,0,0,1,0
0,-1,1,42,0,0,0,2,2,0
100,8120,1,34,0,0,0,0,0,0
0,-1,1,21,0,0,0,2,3,0
0,-1,1,49,0,0,0,2,0,0
0,-1,1,54,0,0,0,0,0,0
0,-1,1,80,0,0,0,2,4,0
100,3987,1,77,0,0,0,0,2,0
100,11062,1,44,0,0,0,6,1,0
100,5541,1,31,0,1,0,2,0,0
100,8753,1,58,0,0,0,0,3,0
100,6525,1,34,0,0,0,4,3,0
100,8496,1,37,0,0,0,0,0,0
0,-1,1,30,0,0,0,0,0,0
100,6437,1,32,0,0,0,0,0,0
100,10125,1,54,0,0,0,2,3,0
100,10578,1,102,0,0,0,0,0,0
0,-1,1,49,0,0,0,0,0,0
0,-1,1,46,0,0,0,3,3,0
100,6720,1,39,0,1,0,0,4,0
0,-1,1,73,0,0,0,1,4,0
0,-1,1,50,0,0,0,4,0,0
0,-1,1,43,0,0,0,4,3,0
